release_id,cog_eap,lan_eap,soc_eap,emo_eap,body_eap
R030266350,-.565834,-.819561,.027568,-.444705,-1.618164
R030430076,-1.095091,-1.893994,-.64946,-1.13833,-2.430268
R030466615,-.705844,-1.268408,-.379239,-.32391,-1.562301
R031735341,-1.308815,-1.681469,-.450607,-.632055,-1.420761
R031801503,-1.4717,-2.017341,-1.59763,-1.112714,-2.360346
R032187838,-.785077,-.755879,-.480326,-.445026,-1.432846
R032695178,-1.385035,-.979873,.17985,-.187917,-2.119674
R032958430,-.670555,-1.92894,-.743708,1.537514,-1.79657
R033522721,-1.350199,-1.413464,-1.489277,-.312109,-1.589403
R034138833,-.919067,-1.267821,.037113,-.433715,-1.748449
R034583527,.312638,.189111,-.484212,.032972,-1.360024
R034824211,-1.311639,-1.716116,-.891484,-1.265624,-1.608286
R036034980,-.022263,-1.477056,.913136,.805318,-.868605
R036219028,-.856615,-2.034644,-.682776,-.63636,-1.594588
R036819727,-.332538,-1.130556,-.119809,-.380267,-1.231713
R037305598,-1.087568,-2.327748,-.680862,-.541132,-1.29058
R037422632,-1.803243,-2.98628,-1.20448,-.868506,-2.048549
R037435119,-.548366,-1.059737,-.720994,.560898,-1.211694
R037722044,-.701632,-.231613,-.895103,-.69377,-.751846
R037843940,-1.443615,-1.865429,-1.577208,.274787,-1.276574
R037992796,-.822637,-1.092277,-.475771,-.190093,-1.261772
R038169413,-2.026489,-3.154257,-1.958994,-1.077607,-2.329667
R038419724,-.794202,-1.139804,.107476,-.326144,-1.197136
R039822490,-1.80621,-3.514456,-1.391522,-1.06865,-2.488561
R039933452,-1.417233,-2.275769,-1.092176,-.678513,-2.222701
R040369975,-1.50011,-2.335888,-1.339273,-.537322,-2.125189
R041523858,-1.222637,-1.615264,-1.070245,-.405601,-1.426909
R041645575,-2.116203,-2.596055,-1.2148,-1.188664,-2.508039
R041848526,-.226042,-1.092788,-.733205,.443732,-1.778706
R042019226,-2.050917,-2.766799,-1.930035,-2.24115,-2.7869
R042277323,-.861888,-.460965,-.621479,.300033,-1.708244
R042418875,-1.465309,-1.954172,-.488621,-.220946,-1.578914
R042756382,-.704078,-.952015,-.501743,-.055715,-1.707058
R043413510,-1.034843,-1.625241,-.609089,-.237325,-1.607337
R043422763,-1.144479,-2.362782,-.702177,-1.083292,-1.658869
R043952402,-2.162684,-2.650257,-1.286465,-.58893,-2.152586
R044832406,-.515255,-.86756,-.583888,-.288806,-1.237735
R044880589,-1.27097,-1.678235,-.616084,-.812191,-1.601104
R045145395,-.785665,-.9492,-.500315,.040343,-1.34919
R045349517,-.952833,-1.452283,-.831073,-.762388,-1.336696
R045356760,-1.131131,-1.864335,-.70297,-.322804,-1.312685
R045477252,-1.443828,-1.850406,-.970596,-1.666922,-1.185256
R045807223,-.719278,-.243064,.03672,.091922,-1.026696
R045855414,-.974615,-1.10182,-1.50441,-.857667,-2.34087
R045891246,-.34951,-.450514,-.782391,-.591104,-.953035
R046348914,-1.081956,-1.523727,-1.337145,-.10815,-1.729353
R046763729,-2.144616,-2.683191,-2.360061,-1.209744,-2.276441
R046885867,-1.750568,-2.225282,-.778121,-1.103397,-2.180456
R046892685,-1.485998,-2.526555,-.708376,-.68145,-2.489282
R047062185,-.659647,-1.618986,-.615234,-.379319,-2.225693
R047063638,-.611702,-1.504729,-1.193134,-2.213448,-1.733775
R048088278,-1.006253,-1.147483,-.745262,.202548,-1.275252
R048263895,-.559926,-1.412547,.059161,-.668509,-1.277886
R049060764,-1.832357,-2.763086,-1.335795,-.951455,-2.278507
R050290783,-1.185773,-2.345252,-1.299475,-.918399,-1.996612
R051266547,-1.821357,-2.918583,-1.30914,-.42369,-2.037859
R052226928,-1.408507,-2.372295,-1.085095,-.762449,-1.911302
R053535360,-1.646854,-2.109799,-1.672281,-1.511759,-2.151481
R053721792,-.28059,-.333847,.410646,.828409,-1.314741
R054609160,-1.265147,-1.470518,-.4645,-1.174514,-1.397363
R055044784,-.851319,-1.943916,-1.365359,-1.211617,-1.748891
R055787903,-1.493083,-2.63946,-.53946,-.158639,-2.319756
R055866590,-.936957,-1.181997,-.336505,-.321297,-1.388237
R055975934,.283758,.547337,-.380865,-.368409,-.659739
R057151818,-.424048,-1.22475,-.818851,-.243304,-2.059643
R057762630,-.906976,-1.703617,-.665591,-.583794,-1.850506
R058835222,-1.15278,-1.893547,-.9009,-.417323,-2.299745
R058938087,-.601371,-.941661,-.809267,-1.099739,-.937808
R059351393,-.677087,-.971177,-.666308,-.294669,-2.08671
R060701694,-1.32422,-1.932289,-.420191,-.312109,-1.909742
R060907768,-1.905225,-3.150434,-.574157,-.300771,-1.727605
R061084858,-1.564772,-2.258602,-1.549778,-1.100046,-1.867889
R061945525,-1.103006,-1.364445,-.126603,.24833,-1.453219
R062050990,.083336,-.082147,-.021929,.284038,-1.221429
R062176301,-1.247971,-1.381337,-.776071,-.739732,-2.059109
R062842384,-1.523374,-1.794918,-1.168501,-1.12692,-2.219429
R062859388,-.725267,-1.720427,-1.415448,-.652003,-2.118344
R063009616,-1.44881,-2.192295,-.519209,.690836,-1.718434
R063703898,-.532255,-1.035121,-.584465,-.772337,-1.451148
R063986661,-1.759579,-2.418586,-2.413162,-2.410295,-2.736967
R064606557,-.690636,-.869136,.355286,.163884,-.768189
R065471535,-1.885039,-2.446033,-1.898642,-1.584763,-2.293738
R065758325,-1.383503,-2.009067,-1.608899,-1.063372,-1.484421
R066794176,-.471419,-1.642885,-.779932,.024092,-1.78287
R067206288,-.754163,-.321919,.053576,1.464469,-1.186422
R067440791,-.604713,-1.185359,-.572117,-.411578,-1.430012
R068071625,-1.368954,-2.096339,-1.215403,-.655602,-2.310043
R068546728,-.965371,-1.363462,-.28042,-.233737,-1.643242
R068751092,-1.674604,-2.556275,.535237,-.317784,-1.452094
R068752208,-.429359,-.585775,-.264185,.205742,-1.078366
R069187592,-1.065832,-1.850406,-.741682,-.312109,-1.531987
R069506658,-1.278826,-1.709228,-.66449,-.401875,-1.970947
R071142670,-1.366806,-2.140197,-1.777482,-1.645517,-3.031893
R071942018,-.68289,-1.016915,-.017861,-.146017,-1.979472
R072051244,-.780327,-.95699,-.736113,.281454,-1.402478
R072217916,-.972759,-1.343099,-1.839545,-1.442531,-1.722157
R072804924,-.400591,-.842832,-.061519,.102986,-1.494974
R073511852,-.548976,-.588123,.849206,.057455,-1.153662
R074090288,-.225233,-1.063493,.515089,.563501,-1.032866
R074842336,-2.017062,-3.20042,-1.676674,-2.216513,-2.935832
R074952768,-.329936,-.874555,-.125185,.446435,-.671606
R075408502,-1.6508,-2.414997,-1.459113,-1.525811,-1.683159
R075654285,-.05962,-.819561,-1.193946,.215816,-.849333
R075923177,-1.511572,-2.020588,-.154739,-.635584,-1.997682
R076234860,-1.199868,-1.693071,-.136881,-.254626,-2.017619
R076782842,-.657787,-.613866,-.104405,.119728,-1.012698
R077262995,-.745801,-1.416104,-.430597,-.612574,-1.103329
R077324787,-.509722,-.955505,.523893,-.05403,-1.763253
R077817534,-.255092,-1.149509,.86742,.571047,-1.607338
R078061844,-.628002,-.762362,-.37106,-.555602,-1.756875
R078866411,-1.005454,-1.017349,-.747708,-.659228,-.90524
R079589582,-1.269449,-1.305233,-.234947,-.421862,-.743067
R079741540,-1.588519,-1.999865,-1.179106,-1.147068,-2.095752
R080292765,-1.284334,-1.127151,-.741682,-.099858,-1.850671
R081219715,-.694135,-2.131955,-1.15149,-1.10002,-2.013053
R081328536,-1.244372,-2.244431,-1.193946,-.753404,-2.244849
R081612332,-.678795,-1.417067,-.668628,-.53769,-2.300381
R082158513,-.648559,-1.409557,-.477614,.293029,-2.001029
R082526513,-1.077986,-2.344045,-1.706904,-.602719,-2.432816
R083104540,-.713523,-1.418616,-.929834,-.703204,-1.263646
R083218870,-.326341,-.47983,.798468,.385556,-.617735
R083544594,-1.257477,-2.113736,-1.925354,-1.574981,-2.067245
R086334347,-.914364,-1.248308,-.249322,.415447,-1.597705
R089089720,-.3752,-1.320158,-.335575,-.6332,-1.066203
R090303446,-1.687306,-1.027229,.567377,.052616,-.509877
R090912474,-.54635,-.768179,.79425,.596962,-.623812
R090940704,-1.348972,-1.79518,-1.142247,-1.041986,-2.161369
R090975432,-.670345,-1.013225,-.097393,.15474,-.669896
R091343557,-1.334561,-1.109637,-.638949,-.041408,-1.304944
R091401617,-.874305,-1.128355,.029889,-.514795,-1.125252
R091983947,-1.029024,-1.975117,-1.329563,-1.344736,-2.299209
R092077337,-.404221,-1.862678,.687753,-.154483,-.57853
R092653220,-.075117,-.940508,-.551209,.125606,-1.254234
R092654235,-1.523981,-1.932289,-.583892,-1.434728,-1.909742
R092675221,-.864135,-.795986,-.012911,.163714,-.368852
R092728515,-1.362179,-2.332614,-.568697,-.842247,-1.682108
R092914896,-1.216077,-1.43335,-.277666,-1.019327,-1.176217
R094059293,-.702495,-1.123905,-.311565,-.596637,-.812146
R094296336,-.971636,-1.492346,-.980096,.013397,-1.734992
R094728201,-1.443828,-1.594003,-1.193946,-.571581,-1.44596
R094918637,-1.932914,-2.810138,-1.367131,-1.00816,-2.596379
R095034849,-3.164833,-3.841948,-2.076976,-2.106871,-2.481953
R095067412,-1.564379,-2.742195,-1.136783,-.674155,-2.039624
R095722801,-1.17954,-1.214823,-.878999,.543502,-1.70649
R096033189,-.790802,-1.858135,-.681141,-.183583,-1.330533
R096308790,-.84898,-1.102433,-.032258,.254136,-.986707
R096613107,-1.323393,-2.387687,-1.107528,-.809095,-1.412681
R096780329,-.439663,-1.266815,-.505796,-.133779,-1.414337
R096954005,-1.354264,-2.40909,-.865439,-1.183817,-1.367189
R097052003,-.707885,-1.847726,-.580087,-.466236,-1.576043
R097396077,-1.14914,-1.262184,.529854,.901866,-1.649948
R097969041,-1.662375,-2.413937,-.977089,-.934873,-1.805391
R098403592,.011543,.137417,.330587,.962638,-.653857
R098832916,-1.925163,-3.275049,-1.624209,-1.595234,-1.900473
R099374777,-.699513,-1.581685,-.129919,.301326,-1.11697
R099634369,-1.0261,-2.009413,-.76297,-.216094,-1.99052
R099828397,-.629084,-1.015482,-.448985,-.044951,-1.689386
R100710645,-.827554,-1.123985,-.204137,.01167,-1.233895
R101152675,-.473196,-1.124408,-.089967,-.230747,-1.776466
R101623594,-.399152,-.342046,-.514866,.853579,-1.187522
R103375716,-.835683,-.743123,.464004,-.165038,-1.555955
R103444223,-.856151,-1.4967,-.930395,.763669,-2.487148
R103886840,-.124554,-.296404,.497144,.940444,-.321159
R104487475,-1.059872,-.838279,-.621703,.152914,-2.03986
R105260715,-.589553,-.9793,.019842,.695154,-1.197755
R105446873,-1.364599,-1.344905,-.916365,-.788346,-1.781254
R105449795,-.631973,-.347437,.360361,-.228343,-1.782357
R105554367,-.690548,-1.217137,-.360541,-.487406,-.902502
R106704559,-.532751,-1.028286,-.277687,.687794,-.83454
R106744757,-.412981,-.723674,-.561481,-.090716,-1.465206
R106996478,-.217138,-.028322,.199079,.175434,-.509243
R107702750,-1.174164,-1.722198,-.871541,-.393747,-2.008601
R108640494,-1.223501,-1.787842,-1.632902,-.89607,-2.284906
R109655140,-1.102274,-.955227,-.264524,-.025984,-1.397061
R110009718,-.519863,-1.068284,-.323329,-1.29033,-1.869471
R110877817,-2.174389,-2.497297,-1.542348,-.941956,-1.634571
R111414484,-.818192,-.600175,.341365,-.035566,-1.784719
R112166418,-1.160866,-.789442,-.370089,-.065859,-.697729
R113261164,-.210735,-.601446,-.538643,-.542422,-.954798
R113999901,-.939523,-1.397126,.560387,.980517,-1.332061
R114157624,-1.317576,-2.685197,-.522009,-.918051,-2.721404
R114314668,-1.035051,-1.61934,-.637816,-.524399,-1.848949
R114483667,-1.365836,-2.371028,-.804551,-.655209,-.878243
R115249017,-.09853,-1.007959,1.459251,1.326329,-.763321
R115602631,-.267869,-.991421,1.406462,.48734,-.378721
R115916619,-.55231,-1.038424,-1.135414,-.606974,-1.603906
R116742083,-1.10819,-2.131266,-.571932,-.32855,-1.785466
R116899648,-2.167232,-3.21959,-1.946478,-1.801305,-2.359151
R117219356,-.757046,-1.48719,-.030441,.448171,-2.169624
R117325287,-.824021,-.991058,.541029,1.096629,-.619221
R117446969,-.767327,-1.204447,-.356445,-.254153,-1.241667
R117471392,-.127876,-1.251466,.699532,.275915,-1.110526
R117517563,-1.035305,-1.594003,-1.341539,-1.607745,-2.276441
R118502218,-1.065389,-2.932586,-1.858968,-1.439582,-2.60426
R119287248,-.234519,-.730738,.603844,.327424,-.691893
R120177237,-1.293597,-2.040818,-.505661,-.092505,-1.859149
R120212399,-1.690837,-2.630404,-.478,-1.042672,-1.764498
R120637843,-1.225474,-2.612986,-1.286982,-1.102413,-1.636001
R122071974,-.185917,-.752196,.729942,.705333,-1.60223
R122367691,-1.749128,-2.10683,-1.086281,-.446913,-2.019752
R122686117,-.584402,-.790726,-.253099,-.414211,-1.035336
R123305800,-.269399,-.953462,-.428393,-.169493,-1.344853
R123503374,-1.267976,-2.024217,-1.148957,-1.0416,-1.784564
R123511129,-1.55612,-2.270966,-.86433,-.67989,-1.977401
R123692342,-.627549,-2.12098,-.557678,.136718,-1.780413
R124159925,-1.406384,-.921912,-.114859,.304871,-1.940509
R124187812,-1.789909,-2.256168,-1.019326,-1.095479,-1.892204
R124341629,-.917517,-1.413464,.027568,.052616,-1.618164
R124764711,-.735639,-1.541273,-.211881,.229741,-1.520111
R126087312,-1.422346,-2.103656,-.869363,.020199,-2.244897
R126953547,-1.452119,-2.349115,-.831457,.181845,-2.313359
R127594980,-1.403924,-1.594003,-1.341539,-.69377,-1.44596
R128347166,-1.654172,-1.905237,.053275,-1.027733,-1.05489
R128679193,-.496966,-1.176808,-.977783,.968074,-.878485
R128746173,-1.042613,-1.238283,-.343543,-.69499,-2.286406
R129217437,-.587936,-1.55829,-.826766,-.764674,-1.46616
R129355184,-.897704,-1.211769,-.80668,-.434951,-1.959984
R129577963,-1.58221,-2.650336,-.800652,-.989873,-2.080879
R130262625,-1.152597,-1.136759,-.032872,.238484,-1.426815
R130956095,-1.346484,-1.800345,-.28521,-.43331,-1.917106
R131442139,-.540091,-1.324591,.302937,1.247119,-1.696768
R132596090,-.856193,-1.477272,-.444923,-.278489,-1.617885
R132895816,-.733262,-1.146635,.232922,.213309,-1.288044
R132900442,-2.021757,-2.018755,-1.261141,-.818298,-2.017563
R133275387,-.87929,-1.33621,-.753989,-.051912,-1.271209
R133665725,-.701632,-1.76678,-.502886,-.379192,-1.531987
R134035252,-.538887,-.711566,-.357261,-.806872,-1.588989
R134419638,-1.072844,-1.393359,-.843083,-.720393,-1.394796
R135034436,-1.024004,-.710779,-.73864,-.130501,-1.057321
R136925706,-1.642723,-1.894055,-1.064986,.016733,-2.112284
R137046132,-.9594,-1.932289,.12621,-.444705,-1.999268
R137603245,-2.323773,-4.074197,-1.87307,-1.534145,-3.106695
R138485207,-.862256,-.592208,-.650753,-.619956,-.657185
R138608910,.269157,-.534232,-.003882,.0303,-.871039
R138807333,-.744865,-.224698,1.726833,1.683101,-.876735
R139749819,-.34439,-.172324,.851212,.632257,-.695021
R139994951,-.6006,-.399552,.775243,.682565,-1.147177
R140247710,-1.059066,-2.260853,-1.652856,-1.00526,-1.293428
R140660967,-1.875373,-2.254117,-1.759671,-.717835,-2.474287
R140976451,-.615282,-.938562,-.352329,-.23225,-1.569353
R141433706,-.791896,-2.285132,-.379331,-.205234,-1.510887
R142370807,-1.604728,-2.099946,-.995307,-.855935,-1.351341
R142815874,-1.217389,-1.5784,-1.570529,-1.194623,-1.78935
R143316683,-2.165918,-3.782353,-1.809262,-1.974056,-2.931051
R143762897,-1.540977,-2.84034,-1.091036,.18394,-1.115826
R143951070,-1.62129,-2.118669,-.452966,-.024345,-.965233
R144623672,-.748392,-1.242393,-.193711,-.003115,-1.512985
R144684092,-1.229626,-1.587921,-.858878,-.054267,-.923471
R144735372,.071453,-.517527,.235556,.861467,-.372083
R144846397,-.599737,-1.060912,-.425941,-.854996,-.296786
R145705195,-1.231023,-2.487835,-1.542939,-1.016526,-2.469538
R145876139,-1.214679,-2.138064,-.319011,-.569898,-1.486576
R147024817,-1.26945,-2.500323,-.981447,-.297045,-2.061504
R147371817,-1.845505,-3.030774,-.940183,-.997725,-3.420459
R148336412,-1.243552,-1.690966,-1.097143,-.461356,-.917573
R148376709,-.738378,-1.366175,-.226067,-.301624,-1.871299
R148742023,-.864509,-1.030123,-1.089426,.070924,-1.709576
R149770987,-1.362961,-2.16628,-1.662162,-.745308,-2.025187
R150227158,-.194912,-.281354,1.06366,.969512,-.463002
R150319249,-1.167581,-.674956,-.882437,-.377939,-1.298208
R151232312,-.813858,-2.284774,-1.689364,-.627786,-1.50963
R151504380,-1.627639,-2.581827,-1.322369,-1.533013,-2.493873
R152031458,-.869711,-1.948336,-.671619,-.366867,-1.997714
R152211375,-1.873865,-3.644422,-1.431029,-1.895481,-2.52034
R152326444,-2.554732,-4.343652,-1.139693,-1.548987,-2.46906
R152602208,-1.282739,-1.772407,-.753755,-.336697,-2.079898
R154265310,-1.011001,-2.069315,-.954606,-.979305,-2.02028
R155017605,-1.005708,-1.614049,-1.006156,-.431439,-1.733012
R156112176,-.925194,-1.259582,-.336873,-.183499,-1.485258
R156694000,-.150603,-.433921,-.320431,.228864,-1.443779
R157334407,-.999505,-1.282434,-.498579,-.659395,-1.370546
R157376141,-1.271491,-1.585899,-.788311,-.807196,-1.921766
R157810289,-.562845,-.709384,-.915101,.019066,-1.560576
R158182219,-.569074,-.961519,-.437421,.21675,-1.937385
R158731964,-1.109265,-2.218594,-1.140474,-.546265,-1.361711
R158796714,-2.562323,-3.188994,-1.423804,-1.388616,-2.349079
R159755318,-1.574705,-2.8647,-1.219206,-1.091566,-1.69458
R159959278,-.192983,-1.030022,.441873,.349397,-1.922559
R160017905,-.753956,-1.080729,.271564,-.138791,-1.049333
R160047634,-1.609186,-2.001216,-1.014126,-.202227,-2.478557
R160684277,-.406595,-.65073,.424957,1.074421,-1.320002
R160764627,-1.365,-1.464349,-.967441,-.222595,-1.228786
R161388063,-1.353094,-2.601211,-1.207119,-.805912,-1.325906
R161862460,-1.187415,-1.030841,-.644352,-.970266,-1.396139
R162356133,-.81586,-1.241457,.188488,.188378,-1.307391
R164114565,-.612769,-.966983,-.256212,.086406,-2.331881
R164855183,-.880284,-.885289,.739171,.099738,-1.516867
R165362226,-1.515768,-1.578749,-.105284,-.106605,-.681693
R165869378,-1.256031,-1.727051,-1.972467,-.254267,-1.182736
R166126462,-.583863,-1.448857,-.809189,-.025915,-2.214619
R166260972,-1.132339,-1.839273,-.295096,-.807769,-1.10299
R166447053,-1.093351,-1.714364,-.740743,.069533,-1.645632
R166451875,-.002155,-.598991,.448701,.794146,-.509877
R166513398,-1.106895,-1.119528,-.846861,-.478491,-2.005714
R166779166,-1.379232,-.985624,.664448,-.256943,-.559791
R167747630,-.884979,-2.022279,-1.005513,-.255083,-1.919837
R167802658,-1.032448,-1.848419,-.752933,-.430324,-1.618434
R168265584,-1.118162,-1.194275,-1.478612,-.505481,-1.55891
R168288148,-1.154675,-1.09724,-.446909,-.214511,-.710312
R168289084,-1.011547,-1.682029,-.968536,-.266269,-1.549762
R169073267,-.30737,-.812062,-.345537,-.428123,-1.241738
R172582579,-.495828,-1.070306,-.358038,.626136,-1.327996
R173073114,-1.398296,-2.555091,-1.734147,-1.49166,-2.330448
R173748587,-1.723238,-2.7968,-.190266,-.427615,-2.72128
R174403027,-.910248,-1.186594,-.661033,-.338131,-1.33481
R174473821,-.818558,-1.184947,.109653,.26652,-1.934607
R174587374,-.870746,-1.413776,-.962862,-.269105,-1.860658
R174983483,-.701821,-1.723068,-1.740338,-.992818,-2.061002
R175592980,-.534948,-1.133356,-.777867,-.425616,-1.537558
R175670325,-1.278166,-1.285855,-.425213,-.474226,-1.454757
R175831041,-.664476,-.580513,-.328218,-.412297,-1.415907
R176891655,-1.097909,-1.503451,-.654817,-.4649,-1.593065
R177215817,-1.222887,-1.329689,-1.080895,-.90428,-2.392757
R177464155,-1.521921,-1.638617,-1.525973,-.481504,-1.997905
R177605870,-.37826,-1.313954,-.520041,-.013187,-1.924832
R177715001,-1.614598,-2.872717,-1.316835,-1.675499,-2.269688
R178918056,-.021585,-.795636,.477487,.825074,-1.284273
R179755445,-1.31466,-1.866056,-.889417,-.932387,-2.100473
R180749007,-.612225,-1.128339,.03998,-.488256,-1.54642
R181238155,-.503563,-.930098,-.070638,.609826,-1.108077
R182014708,-1.220057,-1.340634,-1.288238,.485329,-1.832745
R182614728,-.581614,-1.392689,-.392409,-.500942,-1.423109
R183147712,-.145616,-.312616,.236869,.64428,-1.319677
R183407506,-.798703,-1.966955,-.44003,-.046094,-1.235981
R184494241,-1.137044,-1.076092,-.391507,.199365,-.902156
R184757329,-.476903,-1.111468,-.960701,-.81888,-1.84011
R185555429,-1.686356,-2.838874,-1.000237,-.924597,-2.009874
R186295394,-1.616178,-3.042909,-1.022002,-1.289556,-2.269265
R186513752,-1.086479,-1.67678,-1.074147,-.409637,-2.337901
R187066973,-1.133416,-1.91365,-1.221211,-1.302514,-1.786745
R188287903,-1.752897,-2.865368,-1.455261,-1.166348,-2.694458
R188405259,-1.481106,-2.409009,-1.479088,-.577562,-1.799002
R189489156,-1.317592,-2.136182,.665969,.940823,-2.053244
R189880121,-.456236,.015571,-.079103,-.301672,-.620763
R189944541,-1.673044,-1.898791,-.986272,-.942174,-2.873701
R189959685,-2.137387,-3.533027,-1.385108,-1.73919,-2.823798
R190131655,-1.434671,-2.636632,-1.052795,-.795481,-1.915481
R190743569,-.720655,-1.538854,-.398855,-.661787,-.832759
R191604493,-1.339073,-1.979729,-.141116,.063721,-1.878757
R192338342,-.9594,-1.027229,-.741682,-.92781,-.88115
R192864350,-.831487,-1.72681,-.970454,-1.03561,-1.6929
R193137183,-.81666,-1.673109,-.523533,-.273273,-1.882321
R193452837,-.475131,-.223869,-.772637,-.172165,-1.563511
R193533165,-1.26022,-1.794067,-1.259448,-.332016,-2.195481
R196374080,-.784459,-1.597574,-.594639,-.605886,-1.665951
R197312959,-1.156422,-1.630583,-.425416,-.348152,-2.164693
R198713578,-1.137809,-1.77396,-.652604,.126567,-1.829764
R198784677,-1.229841,-2.287655,-1.461478,-.775058,-2.048058
R198951302,-.91254,-1.173093,-.854287,-.341588,-1.142884
R199002586,-.163717,-1.012836,.655303,.335969,-1.70256
R199384015,-1.168163,-1.057658,-.27972,.073796,-1.692987
R199421131,-.140204,-.584426,-.315437,-.340246,-1.656664
R200379925,-.800118,-1.77396,-.954149,-.800922,-1.511635
R200641932,-.778592,-1.396207,-1.098131,-.342535,-1.77457
R200845619,-.490269,-.584504,.62686,.289451,-1.139758
R201409350,-1.042116,-1.681334,-1.193946,-.243304,-2.120643
R202211328,-.240105,-1.234774,-.353672,-.957611,-.644849
R203052661,-.70738,-.95231,-1.552783,-.658227,-1.038138
R204024367,-1.279852,-1.20172,-.130701,-.751985,-1.423378
R204217847,-.2854,-1.060884,.830292,.836937,-1.611728
R206029103,-3.19649,-4.559634,-2.255687,-1.801562,-3.653221
R206356875,-.780334,-2.582869,-.967264,-.359121,-1.576061
R207401872,-.872596,-1.364994,-.254682,.073177,-1.196844
R207500986,-2.029081,-2.50784,-1.619706,-.221774,-1.558729
R207884202,-.23241,-.350465,.37746,.848028,-1.205088
R209882149,-1.155686,-1.339745,-1.529896,-.552204,-1.197455
R210274520,-1.282871,-2.070898,-.992776,-.323624,-2.213094
R210291551,-1.318385,-2.492614,-1.020508,-1.019701,-2.448839
